mode,p,seed,N_mem,method,n_eval,n_correct,accuracy
2,0.3,8,40,concat,200,104,0.52
2,0.3,8,40,chemotaxis,200,68,0.34
2,0.3,9,40,recency,200,63,0.315
2,0.3,9,40,point,200,64,0.32
2,0.3,9,40,concat,200,95,0.475
2,0.3,9,40,chemotaxis,200,54,0.27
2,0.5,0,10,recency,200,45,0.225
2,0.5,0,10,point,200,41,0.205
2,0.5,0,10,concat,200,50,0.25
2,0.5,0,10,chemotaxis,200,32,0.16
2,0.5,0,20,recency,200,40,0.2
2,0.5,0,20,point,200,49,0.245
2,0.5,0,20,concat,200,65,0.325
2,0.5,0,20,chemotaxis,200,36,0.18
2,0.5,0,40,recency,200,47,0.235
2,0.5,0,40,point,200,55,0.275
2,0.5,0,40,concat,200,77,0.385
2,0.5,0,40,chemotaxis,200,53,0.265
2,0.5,0,80,recency,200,46,0.23
2,0.5,0,80,point,200,49,0.245
2,0.5,0,80,concat,200,77,0.385
2,0.5,0,80,chemotaxis,200,54,0.27
2,0.5,1,10,recency,200,44,0.22
2,0.5,1,10,point,200,51,0.255
2,0.5,1,10,concat,200,53,0.265
2,0.5,1,10,chemotaxis,200,40,0.2
2,0.5,1,20,recency,200,41,0.205
2,0.5,1,20,point,200,42,0.21
2,0.5,1,20,concat,200,47,0.235
2,0.5,1,20,chemotaxis,200,34,0.17
2,0.5,1,40,recency,200,43,0.215
2,0.5,1,40,point,200,43,0.215
2,0.5,1,40,concat,200,59,0.295
2,0.5,1,40,chemotaxis,200,46,0.23
2,0.5,1,80,recency,200,43,0.215
2,0.5,1,80,point,200,43,0.215
2,0.5,1,80,concat,200,70,0.35
2,0.5,1,80,chemotaxis,200,39,0.195
2,0.5,2,10,recency,200,50,0.25
2,0.5,2,10,point,200,54,0.27
2,0.5,2,10,concat,200,57,0.285
2,0.5,2,10,chemotaxis,200,46,0.23
2,0.5,2,20,recency,200,38,0.19
2,0.5,2,20,point,200,42,0.21
2,0.5,2,20,concat,200,53,0.265
2,0.5,2,20,chemotaxis,200,41,0.205
2,0.5,2,40,recency,200,33,0.165
2,0.5,2,40,point,200,53,0.265
2,0.5,2,40,concat,200,67,0.335
2,0.5,2,40,chemotaxis,200,41,0.205
2,0.5,2,80,recency,200,35,0.175
2,0.5,2,80,point,200,55,0.275
2,0.5,2,80,concat,200,76,0.38
2,0.5,2,80,chemotaxis,200,38,0.19
2,0.5,3,10,recency,200,49,0.245
2,0.5,3,10,point,200,46,0.23
2,0.5,3,10,concat,200,58,0.29
2,0.5,3,10,chemotaxis,200,46,0.23
2,0.5,3,20,recency,200,45,0.225
2,0.5,3,20,point,200,54,0.27
2,0.5,3,20,concat,200,69,0.345
2,0.5,3,20,chemotaxis,200,37,0.185
2,0.5,3,40,recency,200,48,0.24
2,0.5,3,40,point,200,50,0.25
2,0.5,3,40,concat,200,70,0.35
2,0.5,3,40,chemotaxis,200,36,0.18
2,0.5,3,80,recency,200,43,0.215
2,0.5,3,80,point,200,53,0.265
2,0.5,3,80,concat,200,77,0.385
2,0.5,3,80,chemotaxis,200,44,0.22
2,0.5,4,10,recency,200,39,0.195
2,0.5,4,10,point,200,43,0.215
2,0.5,4,10,concat,200,47,0.235
2,0.5,4,10,chemotaxis,200,40,0.2
2,0.5,4,20,recency,200,40,0.2
2,0.5,4,20,point,200,43,0.215
2,0.5,4,20,concat,200,59,0.295
2,0.5,4,20,chemotaxis,200,32,0.16
2,0.5,4,40,recency,200,36,0.18
2,0.5,4,40,point,200,46,0.23
2,0.5,4,40,concat,200,67,0.335
